UberSELECT,-5.736725157735502,-35.275950751187054,Nossa Senhora da Apresentação,2017-11-04 13:23:44.245564,600
uberX,-5.753959844356168,-35.28006177577842,Nossa Senhora da Apresentação,2017-11-04 13:23:46.020415,120
UberSELECT,-5.753959844356168,-35.28006177577842,Nossa Senhora da Apresentação,2017-11-04 13:23:46.797992,240
uberX,-5.745060239159901,-35.25252462237582,Potengi,2017-11-04 13:23:48.571262,360
UberSELECT,-5.745060239159901,-35.25252462237582,Potengi,2017-11-04 13:23:49.389903,540
uberX,-5.746077351236518,-35.25218157908026,Potengi,2017-11-04 13:23:51.405515,420
UberSELECT,-5.746077351236518,-35.25218157908026,Potengi,2017-11-04 13:23:52.138062,540
uberX,-5.771581406959674,-35.20372111112657,Ribeira,2017-11-04 13:23:53.893105,360
UberSELECT,-5.771581406959674,-35.20372111112657,Ribeira,2017-11-04 13:23:54.628908,480
uberX,-5.771941162441649,-35.20747207724396,Ribeira,2017-11-04 13:23:56.617379,420
UberSELECT,-5.771941162441649,-35.20747207724396,Ribeira,2017-11-04 13:23:57.353959,540
uberX,-5.783289120198264,-35.204030785341715,Cidade Alta,2017-11-04 13:23:59.820734,360
UberSELECT,-5.783289120198264,-35.204030785341715,Cidade Alta,2017-11-04 13:24:00.590150,600
uberX,-5.7863878361761705,-35.20452691749648,Cidade Alta,2017-11-04 13:24:02.349139,360
UberSELECT,-5.7863878361761705,-35.20452691749648,Cidade Alta,2017-11-04 13:24:03.248402,600
uberX,-5.792111898875642,-35.22141587494522,Alecrim,2017-11-04 13:24:05.359431,480
UberSELECT,-5.792111898875642,-35.22141587494522,Alecrim,2017-11-04 13:24:06.090578,480
uberX,-5.807589950797475,-35.21547423197187,Alecrim,2017-11-04 13:24:07.842376,240
UberSELECT,-5.807589950797475,-35.21547423197187,Alecrim,2017-11-04 13:24:08.592821,360
uberX,-5.795970013061889,-35.246613864939334,Nordeste,2017-11-04 13:24:11.382365,180
UberSELECT,-5.795970013061889,-35.246613864939334,Nordeste,2017-11-04 13:24:12.140565,900
uberX,-5.797653931137819,-35.24812907259002,Nordeste,2017-11-04 13:24:14.244253,180
UberSELECT,-5.797653931137819,-35.24812907259002,Nordeste,2017-11-04 13:24:15.140485,600
uberX,-5.79345290695639,-35.22648230061616,Quintas,2017-11-04 13:24:17.275274,360
